#{"t_start": 1770201107.09923, "env_id": "None"}
r,l,t
-13.874788,1,4.155494
100.0,1,4.155494
-9.746057,1,4.155494
-16.749313,1,4.155494
-50.482156,1,4.155494
-45.798338,1,4.165715
-19.483996,1,4.168667
-59.181823,1,4.171798
-9.802603,1,4.173982
-40.486092,1,4.174882
-22.992274,1,4.174882
-7.872375,1,4.174882
-15.917351,1,4.180137
-23.842948,1,4.182205
-40.192305,1,4.1832
-37.857375,1,4.185202
-59.734332,1,4.186212
-20.602461,1,4.188517
-37.953528,1,4.189548
-22.78911,1,4.191604
-45.3669,1,4.193607
-23.881683,1,4.194604
-58.542058,1,4.194604
-8.579372,1,4.194604
-26.840649,1,4.194604
-35.081166,1,4.194604
-32.472847,1,4.194604
-42.678547,1,4.194604
-14.509128,1,4.204782
-55.345813,1,4.204782
-59.569488,1,4.204782
100.0,1,4.204782
-61.841152,1,4.204782
-38.440916,1,4.204782
-46.316286,1,4.204782
-30.922328,1,4.21535
-13.903346,1,4.21535
-39.281535,1,4.21535
-34.744536,1,4.21535
-12.342004,1,4.21535
-56.470291,1,4.21535
-41.69019,1,4.21535
-52.763907,1,4.21535
-24.354538,1,4.226615
-27.793257,1,4.229134
-39.373622,1,4.231143
-59.641073,1,4.233154
-68.748411,1,4.235162
-7.706622,1,4.235162
-53.928475,1,4.235162
-56.654275,1,4.235162
-38.859688,1,4.235162
-38.57727,1,4.235162
-30.174275,1,4.235162
-63.7275,1,4.245431
-35.372911,1,4.245431
-24.890742,1,4.247447
-36.045997,1,4.249457
-27.144855,1,4.249457
-37.288676,1,4.251468
-39.997948,1,4.25348
-25.393497,1,4.25348
-12.311703,1,4.256294
-66.20642,1,4.256917
-36.137685,1,4.258925
-9.836063,1,4.258925
-58.760678,1,4.260933
-7.274811,1,4.262942
-6.560404,1,4.262942
